metric,value,audit_type,rfv1_name,row_count,row_rate
abnormal_lab_rows,286,summary,,,
abnormal_loss_rows,0,summary,,,
abnormal_test_result_rows,129,summary,,,
eye_ear_rows,0,summary,,,
rfv_distribution,129,rfv_distribution,Abnormal test result,129.0,0.45104895104895104
rfv_distribution,29,rfv_distribution,Symptom – Respiratory,29.0,0.10139860139860139
rfv_distribution,29,rfv_distribution,Symptom – Digestive,29.0,0.10139860139860139
rfv_distribution,27,rfv_distribution,Symptom – Nervous,27.0,0.0944055944055944
rfv_distribution,23,rfv_distribution,Symptom – Circulatory,23.0,0.08041958041958042
rfv_distribution,20,rfv_distribution,Symptom – General,20.0,0.06993006993006994
rfv_distribution,8,rfv_distribution,Diseases (patient-stated),8.0,0.027972027972027972
rfv_distribution,6,rfv_distribution,Symptom – Genitourinary,6.0,0.02097902097902098
rfv_distribution,5,rfv_distribution,Symptom – Skin/Hair/Nails,5.0,0.017482517482517484
rfv_distribution,4,rfv_distribution,Symptom – Musculoskeletal,4.0,0.013986013986013986
rfv_distribution,4,rfv_distribution,Injuries & adverse effects,4.0,0.013986013986013986
rfv_distribution,2,rfv_distribution,Symptom – Psychological,2.0,0.006993006993006993
