vital_name,raw_column,clean_column,raw_n_non_missing,raw_missing_pct,raw_min,raw_p1,raw_median,raw_mean,raw_p99,raw_max,clean_n_non_missing,clean_missing_pct,clean_min,clean_p1,clean_median,clean_mean,clean_p99,clean_max,ed_triage_temp_was_celsius_like_count,ed_triage_temp_was_celsius_like_pct,ed_triage_temp_out_of_range_count,ed_triage_temp_out_of_range_pct,ed_first_temp_was_celsius_like_count,ed_first_temp_was_celsius_like_pct,ed_first_temp_out_of_range_count,ed_first_temp_out_of_range_pct,ed_triage_pain_is_sentinel_13_count,ed_triage_pain_is_sentinel_13_pct,ed_triage_pain_out_of_range_count,ed_triage_pain_out_of_range_pct,ed_first_pain_is_sentinel_13_count,ed_first_pain_is_sentinel_13_pct,ed_first_pain_out_of_range_count,ed_first_pain_out_of_range_pct,ed_triage_sbp_out_of_range_count,ed_triage_sbp_out_of_range_pct,ed_triage_dbp_out_of_range_count,ed_triage_dbp_out_of_range_pct,ed_first_sbp_out_of_range_count,ed_first_sbp_out_of_range_pct,ed_first_dbp_out_of_range_count,ed_first_dbp_out_of_range_pct,ed_triage_o2sat_gt_100_count,ed_triage_o2sat_gt_100_pct,ed_triage_o2sat_out_of_range_count,ed_triage_o2sat_out_of_range_pct,ed_triage_o2sat_zero_count,ed_triage_o2sat_zero_pct,ed_first_o2sat_gt_100_count,ed_first_o2sat_gt_100_pct,ed_first_o2sat_out_of_range_count,ed_first_o2sat_out_of_range_pct,ed_first_o2sat_zero_count,ed_first_o2sat_zero_pct
triage_temp,ed_triage_temp,ed_triage_temp_f_clean,8343,29.21,9.1,95.2,98.0,97.9359671580966,102.0,107.0,8342,29.22,80.0,95.441,98.0,98.09345888276194,102.1,107.0,20.0,0.0016969285593076533,3444.0,0.2922110979127779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
first_temp,ed_first_temp,ed_first_temp_f_clean,6911,41.36,28.6,91.04,98.0,97.6744595572276,102.7,107.0,6911,41.36,80.0,95.11,98.0,98.15550137462016,102.7,107.0,,,,,55.0,0.004666553538096046,4875.0,0.41362633633124046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triage_pain,ed_triage_pain,ed_triage_pain_clean,8151,30.84,0.0,0.0,0.0,3.663906269169427,13.0,134.0,7595,35.56,0.0,0.0,0.0,2.9462146148782096,10.0,10.0,,,,,,,,,551.0,0.046750381808925844,5.0,0.0004242321398269133,,,,,,,,,,,,,,,,,,,,,,,,
first_pain,ed_first_pain,ed_first_pain_clean,7077,39.95,0.0,0.0,0.0,2.682139324572559,10.0,10.0,7077,39.95,0.0,0.0,0.0,2.682139324572559,10.0,10.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
triage_sbp,ed_triage_sbp,ed_triage_sbp_clean,8777,25.53,12.0,75.0,128.0,131.08112111199728,202.23999999999978,9656.0,8771,25.58,24.0,75.0,128.0,130.06168053813704,201.29999999999927,256.0,,,,,,,,,,,,,,,,,6.0,0.000509078567792296,,,,,,,,,,,,,,,,,,
triage_dbp,ed_triage_dbp,ed_triage_dbp_clean,8738,25.86,4.0,37.0,72.0,74.70759899290455,120.0,8132.0,8727,25.95,13.0,37.0,72.0,73.03277185745388,120.0,173.0,,,,,,,,,,,,,,,,,,,11.0,0.0009333107076192092,,,,,,,,,,,,,,,,
first_sbp,ed_first_sbp,ed_first_sbp_clean,9161,22.27,10.0,73.0,127.0,128.79849361423425,204.39999999999964,268.0,9155,22.32,20.0,74.0,127.0,128.87504096122336,204.45999999999913,268.0,,,,,,,,,,,,,,,,,,,,,6.0,0.000509078567792296,,,,,,,,,,,,,,
first_dbp,ed_first_dbp,ed_first_dbp_clean,9161,22.27,7.0,36.0,71.0,72.49230433358804,121.0,867.0,9152,22.35,19.0,36.0,71.0,72.13374125874125,120.0,195.0,,,,,,,,,,,,,,,,,,,,,,,9.0,0.0007636178516884439,,,,,,,,,,,,
triage_o2sat,ed_triage_o2sat,ed_triage_o2sat_clean,8680,26.35,9.0,78.0,97.0,96.29804147465438,100.0,1000.0,8679,26.36,9.0,78.0,97.0,96.19391634980988,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.484642796538266e-05,0.0,0.0,0.0,0.0,,,,,,
first_o2sat,ed_first_o2sat,ed_first_o2sat_clean,8920,24.32,10.0,77.0,97.0,96.33239910313901,100.0,1000.0,8919,24.33,10.0,77.0,97.0,96.23107971745712,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.484642796538266e-05,0.0,0.0,0.0,0.0
